U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468	👨‍❤️‍💋‍👨	kiss: man, man
403	U+1F469 U+200D
U+2764 U+FE0F U+200D U+1F48B U+200D U+1F469	👩‍❤️‍💋‍👩	kiss: woman, woman
404	U+1F491	💑	couple with heart
405	U+1F469
U+200D U+2764 U+FE0F U+200D U+1F468	👩‍❤️‍👨	couple with heart: woman, man
406	U+1F468
U+200D U+2764 U+FE0F U+200D U+1F468	👨‍❤️‍👨	couple with heart: man, man
407	U+1F469
U+200D U+2764 U+FE0F U+200D U+1F469	👩‍❤️‍👩	couple with heart: woman, woman
408	U+1F46A	👪	family
409	U+1F468
U+200D U+1F469 U+200D U+1F466	👨‍👩‍👦	family: man, woman, boy
410	U+1F468
U+200D U+1F469 U+200D U+1F467	👨‍👩‍👧	family: man, woman, girl
411	U+1F468
U+200D U+1F469 U+200D U+1F467 U+200D U+1F466	👨‍👩‍👧‍👦	family: man, woman, girl, boy
412	U+1F468
U+200D U+1F469 U+200D U+1F466 U+200D U+1F466	👨‍👩‍👦‍👦	family: man, woman, boy, boy
413	U+1F468
U+200D U+1F469 U+200D U+1F467 U+200D U+1F467	👨‍👩‍👧‍👧	family: man, woman, girl, girl
414	U+1F468
U+200D U+1F468 U+200D U+1F466	👨‍👨‍👦	family: man, man, boy
415	U+1F468
U+200D U+1F468 U+200D U+1F467	👨‍👨‍👧	family: man, man, girl
416	U+1F468
U+200D U+1F468 U+200D U+1F467 U+200D U+1F466	👨‍👨‍👧‍👦	family: man, man, girl, boy
No.	Code	Emoji	Description
417	U+1F468
U+200D U+1F468 U+200D U+1F466 U+200D U+1F466	👨‍👨‍👦‍👦	family: man, man, boy, boy
418	U+1F468
U+200D U+1F468 U+200D U+1F467 U+200D U+1F467	👨‍👨‍👧‍👧	family: man, man, girl, girl
419	U+1F469
U+200D U+1F469 U+200D U+1F466	👩‍👩‍👦	family: woman, woman, boy
420	U+1F469
U+200D U+1F469 U+200D U+1F467	👩‍👩‍👧	family: woman, woman, girl
421	U+1F469
U+200D U+1F469 U+200D U+1F467 U+200D U+1F466	👩‍👩‍👧‍👦	family: woman, woman, girl, boy
422	U+1F469
U+200D U+1F469 U+200D U+1F466 U+200D U+1F466	👩‍👩‍👦‍👦	family: woman, woman, boy, boy
423	U+1F469
U+200D U+1F469 U+200D U+1F467 U+200D U+1F467	👩‍👩‍👧‍👧	family: woman, woman, girl, girl
424	U+1F468
U+200D U+1F466	👨‍👦	family: man, boy
425	U+1F468
U+200D U+1F466 U+200D U+1F466	👨‍👦‍👦	family: man, boy, boy
426	U+1F468
U+200D U+1F467	👨‍👧	family: man, girl
427	U+1F468
U+200D U+1F467 U+200D U+1F466	👨‍👧‍👦	family: man, girl, boy
428	U+1F468
U+200D U+1F467 U+200D U+1F467	👨‍👧‍👧	family: man, girl, girl
429	U+1F469
U+200D U+1F466	👩‍👦	family: woman, boy
430	U+1F469
U+200D U+1F466 U+200D U+1F466	👩‍👦‍👦	family: woman, boy, boy
431	U+1F469
U+200D U+1F467	👩‍👧	family: woman, girl
432	U+1F469
U+200D U+1F467 U+200D U+1F466	👩‍👧‍👦	family: woman, girl, boy
433	U+1F469
U+200D U+1F467 U+200D U+1F467	👩‍👧‍👧	family: woman, girl, girl
person-symbol
No.	Code	Emoji	Description
434	U+1F5E3	🗣	speaking head
435	U+1F464	👤	bust in silhouette
436	U+1F465	👥	busts in silhouette
437	U+1F463	👣	footprints
Component
hair-style
No.	Code	Emoji	Description
438	U+1F9B0	🦰	⊛ red hair
439	U+1F9B1	🦱	⊛ curly hair
440	U+1F9B3	🦳	⊛ white hair
441	U+1F9B2	🦲	⊛ bald
Animals
& Nature
animal-mammal
No.	Code	Emoji	Description
442	U+1F435	🐵	monkey face
443	U+1F412	🐒	monkey
444	U+1F98D	🦍	gorilla
445	U+1F436	🐶	dog face
446	U+1F415	🐕	dog
447	U+1F429	🐩	poodle
448	U+1F43A	🐺	wolf
449	U+1F98A	🦊	fox
450	U+1F99D	🦝	⊛ raccoon
451	U+1F431	🐱	cat face
452	U+1F408	🐈	cat
453	U+1F981	🦁	lion
454	U+1F42F	🐯	tiger face
455	U+1F405	🐅	tiger
456	U+1F406	🐆	leopard
457	U+1F434	🐴	horse face
458	U+1F40E	🐎	horse
459	U+1F984	🦄	unicorn
460	U+1F993	🦓	zebra
